Wildtype P10,Spastic P10
83.54,50.47
72.79,66.87
92.33,66.38
87.6,77.13
91.38,57.72
68.48,56.94
71.89,76.29
88.03,57.68
76.3,62.41
68.97,62.23
75.03,60.6
83.51,58.99
86.82,81.42
71.63,68.96
83.54,55.7
72.79,75.78
92.33,75.39
87.6,58.99
91.38,70.94
68.48,78.98
71.89,67.66
88.03,70.62
76.3,50.47
68.97,66.87
75.03,66.38
83.51,77.13
86.82,57.72
71.63,56.94
83.54,76.29
72.79,57.68
92.33,62.41
87.6,62.23
91.38,60.6
68.48,58.99
71.89,81.42
88.03,68.96
76.3,55.7
68.97,75.78
75.03,75.39
83.51,58.99
86.82,70.94
71.63,78.98
82.88,67.66
72.41,70.62
72.54,50.47
101.31,66.87
67.85,66.38
76.54,77.13
65.45,57.72
82.88,56.94
72.41,76.29
72.54,57.68
101.31,62.41
67.85,62.23
76.54,60.6
65.45,58.99
82.88,81.42
72.41,68.96
72.54,55.7
101.31,65.78
67.85,60.13
76.54,58.99
65.45,70.94
91.46,78.98
75.29,67.66
70.42,70.62
